case_uid,Case_ID,row_id,group,latency_low,latency_medium,latency_high
cc84b153ebec2e54bb9603776b6c501a856106665687bebb9f969a02c65cc301,cc84b153ebec2e54bb9603776b6c501a856106665687bebb9f969a02c65cc301,1,RA 1,5542.0,14560.9,53601.1
3ca2950d57089367894e39a986d5d9d2e9f42396ba458e45ef60a41b1e437e94,3ca2950d57089367894e39a986d5d9d2e9f42396ba458e45ef60a41b1e437e94,2,RA 10,24439.8,36127.9,57878.5
72bf1a4b85c5310fbeaa40c464a7373921cd53bf6c90c059b6036928a5f05793,72bf1a4b85c5310fbeaa40c464a7373921cd53bf6c90c059b6036928a5f05793,6,RA 14,7580.9,23704.7,150318.9
530c78cf80e645f3f9c4e96e3c8e56959b35aa795508e054a204dcf3095c0736,530c78cf80e645f3f9c4e96e3c8e56959b35aa795508e054a204dcf3095c0736,8,RA 16,7532.8,27689.8,59386.3
9aa1640edf501deab86cc081cb852784ce29deed16fc5591559ffb20c3e96ab6,9aa1640edf501deab86cc081cb852784ce29deed16fc5591559ffb20c3e96ab6,11,RA 19,11878.8,21198.4,100826.0
53b5f25f3915170030a890638c06387c17704d15d84738f2eeb192ea548879ff,53b5f25f3915170030a890638c06387c17704d15d84738f2eeb192ea548879ff,17,RA 24,9462.8,13507.2,28354.4
5e02d859fbe2bad59a5c576958688287c3edd7625272a7f6c287d34f0e3fecbe,5e02d859fbe2bad59a5c576958688287c3edd7625272a7f6c287d34f0e3fecbe,23,RA 3,7284.6,24524.2,32916.8
180f9e278929fc12183cf6953f557139f553f6dcca8546f438c4046a2cdfe0c1,180f9e278929fc12183cf6953f557139f553f6dcca8546f438c4046a2cdfe0c1,24,RA 30,7329.0,29288.7,73162.0
43079892c95ad1e3d527d821b3d2f6f5e969db3e70245abd9f9933ca558c9823,43079892c95ad1e3d527d821b3d2f6f5e969db3e70245abd9f9933ca558c9823,25,RA 31,26136.8,31446.7,129833.9
105e40e760acc1a8bc6587c2cd53afa585f76b025a23f8c62387d60333a508f2,105e40e760acc1a8bc6587c2cd53afa585f76b025a23f8c62387d60333a508f2,26,RA 32,7204.3,34196.4,71138.3
d00ed996d460bf031b90733220a466bf82af19209e56b3050d518842d3c7cffa,d00ed996d460bf031b90733220a466bf82af19209e56b3050d518842d3c7cffa,27,RA 33,4116.2,8393.1,34518.5
472ce3eebd89effce46e8ca3db6eda3c7956cfa59414025824ff67b68007223b,472ce3eebd89effce46e8ca3db6eda3c7956cfa59414025824ff67b68007223b,30,RA 36,19561.9,29839.4,68872.7
0609c1b68c872db76dd2915a2bc732d99eddbd4158a960191f01339ab228afa5,0609c1b68c872db76dd2915a2bc732d99eddbd4158a960191f01339ab228afa5,35,RA 40,7341.5,11413.6,47369.2
523152fd7cdea48481e52f2d9a0da91bb7b8e2707bbccc19e0b31d1fe9495cc1,523152fd7cdea48481e52f2d9a0da91bb7b8e2707bbccc19e0b31d1fe9495cc1,37,RA 42,11111.0,38826.0,104476.7
2008d46242c74fa21c3dba48c8c354edaa7a10226bd3aeadb77cb61788358587,2008d46242c74fa21c3dba48c8c354edaa7a10226bd3aeadb77cb61788358587,39,RA 44,11272.3,40164.4,48056.5
632e91dc1f51d2b2f19a8183710035230b963a6c7112fc2ef4d452e14b9f3fd4,632e91dc1f51d2b2f19a8183710035230b963a6c7112fc2ef4d452e14b9f3fd4,41,RA 46,6389.9,49431.6,30259.4
d82f84fd642ab5f7107d28d68317bc69bfc5ff983d681890b6c677dc0443734b,d82f84fd642ab5f7107d28d68317bc69bfc5ff983d681890b6c677dc0443734b,43,RA 48,14689.0,31901.2,97470.6
1e010e403bcc1330e925ef00ac104698e2c4e79b7e89f5d4a8b6d00da73bd8f5,1e010e403bcc1330e925ef00ac104698e2c4e79b7e89f5d4a8b6d00da73bd8f5,46,RA 50,10407.9,21157.1,76243.5
9ff7e32e7e61eebca7a86c4ed01cbd56d173131dddaa9a15e4f7b551f6e1b085,9ff7e32e7e61eebca7a86c4ed01cbd56d173131dddaa9a15e4f7b551f6e1b085,47,RA 6,10543.9,31428.5,60056.3
1d744793c9b5b5ad1d10c08fbef9ed13346fd3a7a5c112756e7fd1ad46b90959,1d744793c9b5b5ad1d10c08fbef9ed13346fd3a7a5c112756e7fd1ad46b90959,49,RA 8,4294.2,26836.6,39180.0
