case_uid,Case_ID,Gemini_25_Pro__Results,OpenAI_O3__Results,Claude_Opus_4__Results,Grok_4__Results,Unnamed_12,GPT5__Thinking_Run1__Results,GPT__5__Thinking_Run2__Results,GPT5__Thinking_Run3__Results,Time_sec
290120f1af29a46f72e94433430a4caa195ae47c4179f632dfcac5cf14687b61,290120f1af29a46f72e94433430a4caa195ae47c4179f632dfcac5cf14687b61,0.5,0.5,0,1,,1,0.5,0.5,32
03d8f6686037382fe08d2bf06db2093fe57d5bef7a3a9d6a0edf4bb0cf1596c4,03d8f6686037382fe08d2bf06db2093fe57d5bef7a3a9d6a0edf4bb0cf1596c4,1,1,0,0,,0.5,0,1,31
c4bb347f8ec191957be87f7e8407671c3d09bb2e0115cce1e820ad8bd5140fd3,c4bb347f8ec191957be87f7e8407671c3d09bb2e0115cce1e820ad8bd5140fd3,0,0,0,0,,1,1,1,38
4a8fb4b8a695a88f22b14088345e61a1b96fad1b45b227ddf4665629890db8db,4a8fb4b8a695a88f22b14088345e61a1b96fad1b45b227ddf4665629890db8db,0,0,0,1,,1,1,1,32
8ca6be41407273a0ec23ea23e6d998a7a1edb46884b96e49901e98a4ac5d515f,8ca6be41407273a0ec23ea23e6d998a7a1edb46884b96e49901e98a4ac5d515f,0,0,0,0,,1,0,,51
cb57416b3aba1cb6fa593739e06d2e619ffb602f1c17f75884293c0a3c5d5007,cb57416b3aba1cb6fa593739e06d2e619ffb602f1c17f75884293c0a3c5d5007,0,0,0,0,,0,0,,88
30583b1b0ef062c6f9db8e7dc30877c19a9ebdc750e7e64c26bdf6ea983fab00,30583b1b0ef062c6f9db8e7dc30877c19a9ebdc750e7e64c26bdf6ea983fab00,0,0,0,0,,0,1,,73
cf1f46b0e5dcf5fb086cd8b47d0275a7c891c082f199b2e3861c7c7878fc220f,cf1f46b0e5dcf5fb086cd8b47d0275a7c891c082f199b2e3861c7c7878fc220f,1,1,0,0,,0.5,1,1,20
b322eb4fa60ea9cf3d4f14bb28dba6c339178acde1e73caa9bbe0caf9967ee0f,b322eb4fa60ea9cf3d4f14bb28dba6c339178acde1e73caa9bbe0caf9967ee0f,0,1,0,0,,0.5,0,1,46
0be9c65eb236b0a0b8219fdb1a883eb6f051e5a9c8782cc312e5e0c1e7821129,0be9c65eb236b0a0b8219fdb1a883eb6f051e5a9c8782cc312e5e0c1e7821129,0.5,0.5,0,0,,1,0,0.5,76
8b28135b112c873b24f8939563b56a256127c0f2ce995b9abd2a4dcd47279857,8b28135b112c873b24f8939563b56a256127c0f2ce995b9abd2a4dcd47279857,0,0,0,0,,0,0,,56
8f700f6e0112507e5327e78c9e5c107dca204c447f26375ac6cbeaede368281b,8f700f6e0112507e5327e78c9e5c107dca204c447f26375ac6cbeaede368281b,0,1,0,0,,0.5,1,1,7
b5a8ee77787514ca25d5fc1338b339609dc8aaf949b73cc5033341a012a5f570,b5a8ee77787514ca25d5fc1338b339609dc8aaf949b73cc5033341a012a5f570,0,0,0,0,,0,0,,37
002c10519198fd960f7b611c4b009ebc413de1b4185986ae293261f28d62a1a7,002c10519198fd960f7b611c4b009ebc413de1b4185986ae293261f28d62a1a7,0,0,0,0,,0,0,,22
44d870b990a7ba171b1b9f112739c0dbfc54881e7b61c29489b4b574c9e346ba,44d870b990a7ba171b1b9f112739c0dbfc54881e7b61c29489b4b574c9e346ba,0,0,0,0,,0,0,,5
54f026d925aa22a1cec229786b946f2bac8a64b956e3444589015b5229c4c431,54f026d925aa22a1cec229786b946f2bac8a64b956e3444589015b5229c4c431,0,0,0,0,,0,0,,19
7369685a17770292b7e886d2f237e2b9acb0db835b6f877029e7fb19a2c3bb06,7369685a17770292b7e886d2f237e2b9acb0db835b6f877029e7fb19a2c3bb06,0,0,0,0,,0,0,,43
a8a2cad41e8348df0e08c94d32f0e5026885809a1a8c674f0c9a2c7f3e73d854,a8a2cad41e8348df0e08c94d32f0e5026885809a1a8c674f0c9a2c7f3e73d854,0,0,0,0,,0,0,,41
3954da9e883d4be63cdd8bf244c2ad06078ffc91f6768dc485e3652d69cd8f2d,3954da9e883d4be63cdd8bf244c2ad06078ffc91f6768dc485e3652d69cd8f2d,0,0,0,0,,0,0,,50
416af028bd19a0bb8bd6d75e19a560d474e1e735bcbcbed553be027cde078a5f,416af028bd19a0bb8bd6d75e19a560d474e1e735bcbcbed553be027cde078a5f,0,0,0,0,,0,0,,42
552213193c09be490124006131481f7f8a203918204dfd17f9aad4f33573139e,552213193c09be490124006131481f7f8a203918204dfd17f9aad4f33573139e,0,0,0,0,,0,0,,45
6cd197dcfd276fbb608690b906d51370ae7be44fc4a870195d1e8610ad6c00a7,6cd197dcfd276fbb608690b906d51370ae7be44fc4a870195d1e8610ad6c00a7,0,0,0,0,,0,0,,27
8058d61503d75c9cacf1b1f316a250be70574ccc208540ec0be56ce97e6249eb,8058d61503d75c9cacf1b1f316a250be70574ccc208540ec0be56ce97e6249eb,1,1,0,0,,1,0,1,7
fd5b15982262c02a69fd25bc6458737a51b7220d4d35ae36907437cfaf4ccab9,fd5b15982262c02a69fd25bc6458737a51b7220d4d35ae36907437cfaf4ccab9,0.5,0,0,0,,0,0,,32
d0c875a40fc347eb7c3748579ac5f5d971ad9d4a060fb47b3fe01adeb3102246,d0c875a40fc347eb7c3748579ac5f5d971ad9d4a060fb47b3fe01adeb3102246,0,0,0,0,,0,1,1,88
1328d1f3a1dc58dd050c5abdfffe9557d4904dabff64ad2ef389c3223bb96303,1328d1f3a1dc58dd050c5abdfffe9557d4904dabff64ad2ef389c3223bb96303,1,0,0,0,,0,1,1,7
1c0f38de208411057d7b57f0b0818b912eaa4946de5769c36d5bba3b0435313e,1c0f38de208411057d7b57f0b0818b912eaa4946de5769c36d5bba3b0435313e,0,1,0,0,,,1,1,7
05abae37a8a85d823959f623efbeaa7771fbfb76433989786607a095d8d942f2,05abae37a8a85d823959f623efbeaa7771fbfb76433989786607a095d8d942f2,0,1,0,0,,1,0,,44
dc8cb47b06e33422ee62bb9b755857adf5c499494c97804b805ec9fab2b86ec7,dc8cb47b06e33422ee62bb9b755857adf5c499494c97804b805ec9fab2b86ec7,0,0,0,0,,0,0,,26
6ac4a9e4ceea21d3721f01893c699184f3b11192e77b409046fa592e5a46587d,6ac4a9e4ceea21d3721f01893c699184f3b11192e77b409046fa592e5a46587d,1,0,0,0,,0,0,,82
043fc4e00aadacacd98a10a4aed65e23d93f7391ea305d85aeb63d6db58d0855,043fc4e00aadacacd98a10a4aed65e23d93f7391ea305d85aeb63d6db58d0855,0,0,0,0,,0,0,1,51
c140cc8abe75aafd25bc67d6e93536bbb1507d7381c576497ecdf27b212c91ca,c140cc8abe75aafd25bc67d6e93536bbb1507d7381c576497ecdf27b212c91ca,1,0,0,0,,0,0,0.5,9
741319f377e8e51841dd84fcc69c8c238f11ec535392c393f3da11cc6268d2db,741319f377e8e51841dd84fcc69c8c238f11ec535392c393f3da11cc6268d2db,1,1,0,1,,1,1,1,8
3d018a0f64c43a2bd195aafbef5709427e80294666190aea9d59e890f164f3cc,3d018a0f64c43a2bd195aafbef5709427e80294666190aea9d59e890f164f3cc,0,0,0,0,,0,0,,30
f5520e527070ac96aae4da8dfcb72398f104e09d2551c7599331b092d1c68b68,f5520e527070ac96aae4da8dfcb72398f104e09d2551c7599331b092d1c68b68,0,0,0,0,,0,0,,32
14d58bf6d31eae1959f4555fee54d0881bceeabeadf96cfdd4b2ad91bbdeb0f6,14d58bf6d31eae1959f4555fee54d0881bceeabeadf96cfdd4b2ad91bbdeb0f6,0,0,0,0,,0,0,,41
38f5c417e70eeea20eed08d39aac057b2886b72a71e85a230531e00858b906d5,38f5c417e70eeea20eed08d39aac057b2886b72a71e85a230531e00858b906d5,0,0,0,0,,0,0,,136
b12d8db8d7c3a4c3a6172429e7c62eb85842bea2e5da90d7365504929ee36ec9,b12d8db8d7c3a4c3a6172429e7c62eb85842bea2e5da90d7365504929ee36ec9,0,0,0,0,,0,0,,86
3c24d7239ed1c89a306d800e5f54dd874f76ebf9e11f10ed081ebefacbafeb5c,3c24d7239ed1c89a306d800e5f54dd874f76ebf9e11f10ed081ebefacbafeb5c,0,1,0,0,,1,0,,96
14b48ef5b8b04e47b548883d04cd471c80ab9e12f75525f10813271e1315bdda,14b48ef5b8b04e47b548883d04cd471c80ab9e12f75525f10813271e1315bdda,1,0,0,0,,0,1,1,16
c0433b61b00cbc3397d3fa853175905ee1909d603e68272d11acc4156b840dc3,c0433b61b00cbc3397d3fa853175905ee1909d603e68272d11acc4156b840dc3,1,1,0,0,,1,0,,66
7a6d915ad9671692c1ff377e212f378c1cc6dde60fb3686dfe9f052fa6738051,7a6d915ad9671692c1ff377e212f378c1cc6dde60fb3686dfe9f052fa6738051,1,0,1,1,,0,0,,36
e51e3c74040d06bfb19ad0d652e7d17fe65e473fe0a4930a5ffc3beee1391be8,e51e3c74040d06bfb19ad0d652e7d17fe65e473fe0a4930a5ffc3beee1391be8,0,0,0,0,,0,0,,18
b78b75ecc4f780b13f461dd439a3c077ab8c6fcc1186a737c2ac14dd2cd3bbbd,b78b75ecc4f780b13f461dd439a3c077ab8c6fcc1186a737c2ac14dd2cd3bbbd,1,0,0,0,,0,1,1,93
b12d65aadc7fa4d6ffeb47244f14864ce43c803d33bbeeb3f87c878370964f0a,b12d65aadc7fa4d6ffeb47244f14864ce43c803d33bbeeb3f87c878370964f0a,0,0,0,0,,0,0,,57
bbd2145a9688606b3bec2be97b8dfedf4d8a882e0450a5a053f0e833ac1aee7f,bbd2145a9688606b3bec2be97b8dfedf4d8a882e0450a5a053f0e833ac1aee7f,0,1,0,0,,1,1,1,13
53fb0e02dfdba3c77a0b79e8a2bcc748fdcb0d92969f47818b67ded61119c88c,53fb0e02dfdba3c77a0b79e8a2bcc748fdcb0d92969f47818b67ded61119c88c,1,0,0,0,,0,0,,39
2d8b48e0bbba8f89ba507ab6bcf1e96ef95281f7577f2ad8328d6c6fd2687824,2d8b48e0bbba8f89ba507ab6bcf1e96ef95281f7577f2ad8328d6c6fd2687824,0,0,0,0,,0,0,,55
f411dc62f0f44bb1328fd12f8ea06eb1ed68ca42cf3e1ed2c1077257f671807f,f411dc62f0f44bb1328fd12f8ea06eb1ed68ca42cf3e1ed2c1077257f671807f,0,0,0,0,,0,0,,15
9d2a5942d0c29e5f340de8783128a284e1262cbfcba9e2ad2e25451456d0e51d,9d2a5942d0c29e5f340de8783128a284e1262cbfcba9e2ad2e25451456d0e51d,1,1,0,1,,1,1,1,14
